NAMA KABUPATEN,JUMLAH RUMAH SAKIT,JUMLAH PUSKESMAS,JUMLAH POSYANDU,JUMLAH APOTEK,JUMLAH KLINIK,TAHUN
KABUPATEN BOGOR,31,365,4685,416,154,2023
KABUPATEN SUKABUMI,9,329,3233,181,5,2023
KABUPATEN CIANJUR,7,202,2528,219,10,2023
KABUPATEN BANDUNG,17,188,3696,213,15,2023
KABUPATEN GARUT,9,209,4334,300,10,2023
KABUPATEN TASIKMALAYA,3,191,2112,115,11,2023
KABUPATEN CIAMIS,6,81,1597,205,6,2023
KABUPATEN KUNINGAN,12,142,1393,168,17,2023
KABUPATEN CIREBON,13,165,2706,333,24,2023
KABUPATEN MAJALENGKA,6,110,1500,172,10,2023
KABUPATEN SUMEDANG,5,121,1431,197,11,2023
KABUPATEN INDRAMAYU,12,117,2220,184,18,2023
KABUPATEN SUBANG,11,162,1907,245,7,2023
KABUPATEN PURWAKARTA,11,81,1047,126,7,2023
KABUPATEN KARAWANG,26,242,2225,400,8,2023
KABUPATEN BEKASI,55,142,2153,493,25,2023
KABUPATEN BANDUNG BARAT,12,81,2340,149,7,2023
KABUPATEN PANGANDARAN,1,48,532,76,3,2023
KOTA BOGOR,22,56,982,189,11,2023
KOTA SUKABUMI,6,33,461,77,5,2023
KOTA BANDUNG,42,113,1995,1076,135,2023
KOTA CIREBON,10,31,328,114,17,2023
KOTA BEKASI,48,48,1359,750,71,2023
KOTA DEPOK,28,39,1059,305,45,2023
KOTA CIMAHI,8,15,410,86,10,2023
KOTA TASIKMALAYA,15,63,819,250,13,2023
KOTA BANJAR,4,27,200,47,8,2023
